node_id,node_name,source_name,source_kind,ordinal
108,Подзапрос,РЕГИСТРСВЕДЕНИЙ.ИФРС17_ГРУППЫСЧЕТОВНПО,InformationRegister,2
109,ВТ_ТранзитныеВиды_ТипыДоговоровЕПС,РЕГИСТРСВЕДЕНИЙ.УП_ТИПЫПЕНСИОННЫХСЧЕТОВДЛЯЕПС,InformationRegister,1
110,Подзапрос,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
110,Подзапрос,РЕГИСТРСВЕДЕНИЙ.УП_ТИПЫПЕНСИОННЫХСЧЕТОВДЛЯЕПС,InformationRegister,2
111,ВТ_ТранзитныеВиды_ДатыФиксации,РЕГИСТРСВЕДЕНИЙ.УП_ДАТАФИКСАЦИИОБЯЗАТЕЛЬСТВНПО,InformationRegister,1
112,Подзапрос,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
112,Подзапрос,РЕГИСТРСВЕДЕНИЙ.УП_ДАТАФИКСАЦИИОБЯЗАТЕЛЬСТВНПО,InformationRegister,2
113,ВТ_ТранзитныеВиды_ПериодыГарантВосполнения,РЕГИСТРСВЕДЕНИЙ.УП_ПЕРИОДЫГАРАНТИЙНОГОВОСПОЛНЕНИЯНПО,InformationRegister,1
114,Подзапрос,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
114,Подзапрос,РЕГИСТРСВЕДЕНИЙ.УП_ПЕРИОДЫГАРАНТИЙНОГОВОСПОЛНЕНИЯНПО,InformationRegister,2
115,ВТ_ПенсионныеСчета_Свойства_ТранзитныеОбязательства,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
115,ВТ_ПенсионныеСчета_Свойства_ТранзитныеОбязательства,ВТ_ТРАНЗИТНЫЕВИДЫ_ПЕРИОДЫГАРАНТВОСПОЛНЕНИЯ,TempTable,2
