node_id,node_name,join_type,left_source,left_alias,right_source,right_alias,on_expression
72,Часть_1,INNER JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ДокументыСторно,ВТ_ДокументыСторно,уп_НачисленияПенсий.Регистратор = ВТ_ДокументыСторно.ДокументСторно
73,Часть_2,INNER JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ДокументыСторно,ВТ_ДокументыСторно,уп_ПрочиеНачисления.Регистратор = ВТ_ДокументыСторно.ДокументСторно
74,ВТ_ОстаткиТранзитныеВиды,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_Резервы,уп_Резервы,уп_Резервы.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
74,ВТ_ОстаткиТранзитныеВиды,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_Резервы,уп_Резервы,уп_Резервы.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
74,ВТ_ОстаткиТранзитныеВиды,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_ВозвратыПрочихНачисленийНПО,уп_ВозвратыПрочихНачисленийНПО,уп_ВозвратыПрочихНачисленийНПО.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
74,ВТ_ОстаткиТранзитныеВиды,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_ВозвратыПрочихНачисленийНПО,уп_ВозвратыПрочихНачисленийНПО,уп_ВозвратыПрочихНачисленийНПО.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
74,ВТ_ОстаткиТранзитныеВиды,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_ВозвратыПенсийНПО,уп_ВозвратыПенсийНПО,уп_ВозвратыПенсийНПО.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
74,ВТ_ОстаткиТранзитныеВиды,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_ВозвратыПенсийНПО,уп_ВозвратыПенсийНПО,уп_ВозвратыПенсийНПО.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
75,ПодЗапрос,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_Резервы,уп_Резервы,уп_Резервы.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
76,Часть_1,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_Резервы,уп_Резервы,уп_Резервы.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
